Name,Created,Developed at,Github,Tags
Sudoku,"October 4, 2023 4:59 PM",Manipal University Jaipur (https://www.notion.so/Manipal-University-Jaipur-3c9f570a4d7e46b78eb9faff9dcd1fd7?pvs=21),,Fun!
The Image ratio distortion on zoom for 200%,"October 6, 2023 10:27 AM",CSS Corp (Movate) (https://www.notion.so/CSS-Corp-Movate-9d4f4d513bca40a28c2d7ccae72baef3?pvs=21),,Automation
NVDA plugin to store the spoken history on a text file,"October 6, 2023 10:29 AM",CSS Corp (Movate) (https://www.notion.so/CSS-Corp-Movate-9d4f4d513bca40a28c2d7ccae72baef3?pvs=21),,Automation
Vlookup Implementation,"October 6, 2023 10:31 AM",CSS Corp (Movate) (https://www.notion.so/CSS-Corp-Movate-9d4f4d513bca40a28c2d7ccae72baef3?pvs=21),,Automation
Search Engine Results,"October 6, 2023 10:31 AM",CSS Corp (Movate) (https://www.notion.so/CSS-Corp-Movate-9d4f4d513bca40a28c2d7ccae72baef3?pvs=21),,Natural Language Processing
Visual Search,"October 6, 2023 10:33 AM",IceCream Labs (Internship) (https://www.notion.so/IceCream-Labs-Internship-4addc788810c4b3fb2d91f7d39431ce3?pvs=21),,"Computer Vision, Deep Learning"
Fashion Design Overlay,"October 6, 2023 10:35 AM",IceCream Labs (Internship) (https://www.notion.so/IceCream-Labs-Internship-4addc788810c4b3fb2d91f7d39431ce3?pvs=21),,Computer Vision
Variable Multiple Instance Learning,"October 6, 2023 10:36 AM",IceCream Labs (Internship) (https://www.notion.so/IceCream-Labs-Internship-4addc788810c4b3fb2d91f7d39431ce3?pvs=21),,Computer Vision
Return Prediction,"October 6, 2023 10:43 AM",Spinnaker Analytics (https://www.notion.so/Spinnaker-Analytics-d18bd6573a9f4e64bcbb17d9d4997432?pvs=21),,"Data Science, Machine Learning"
Boston Children’s Museum,"October 6, 2023 10:43 AM",Spinnaker Analytics (https://www.notion.so/Spinnaker-Analytics-d18bd6573a9f4e64bcbb17d9d4997432?pvs=21),,"Data Science, Time Series Forecasting"
Logo Prediction,"October 6, 2023 11:18 AM",IceCream Labs (Full Time) (https://www.notion.so/IceCream-Labs-Full-Time-3d54798fc03642139171d767c91a92b2?pvs=21),,"Computer Vision, Deep Learning"
Detecting when products are put into a cart,"October 6, 2023 11:51 AM",Sensight Labs (Friendly Brands now) (https://www.notion.so/Sensight-Labs-Friendly-Brands-now-bebad2e5065f4207b97ff024812392f1?pvs=21),,"Computer Vision, Deep Learning"
Created a cropping tool + object tracking tool,"October 6, 2023 11:54 AM",Sensight Labs (Friendly Brands now) (https://www.notion.so/Sensight-Labs-Friendly-Brands-now-bebad2e5065f4207b97ff024812392f1?pvs=21),,"Computer Vision, Data Science, Deep Learning"
Created a Visual image Textbased search engine,"October 6, 2023 11:59 AM",Sensight Labs (Friendly Brands now) (https://www.notion.so/Sensight-Labs-Friendly-Brands-now-bebad2e5065f4207b97ff024812392f1?pvs=21),,"Data Science, Machine Learning, Natural Language Processing"
Colour based item selection,"October 6, 2023 12:11 PM",Sensight Labs (Friendly Brands now) (https://www.notion.so/Sensight-Labs-Friendly-Brands-now-bebad2e5065f4207b97ff024812392f1?pvs=21),,"Computer Vision, Machine Learning"
Automated data analysis,"October 6, 2023 12:12 PM",Sensight Labs (Friendly Brands now) (https://www.notion.so/Sensight-Labs-Friendly-Brands-now-bebad2e5065f4207b97ff024812392f1?pvs=21),,"Automation, Data Science, Machine Learning"
Webscraping for Grocery App,"October 6, 2023 12:11 PM",Sensight Labs (Friendly Brands now) (https://www.notion.so/Sensight-Labs-Friendly-Brands-now-bebad2e5065f4207b97ff024812392f1?pvs=21),,"Data Science, Machine Learning, Natural Language Processing"
Sentence Embedding Search,"October 6, 2023 12:14 PM",Dell Internship1 (https://www.notion.so/Dell-Internship1-1b03bea23d2f4bec98b1ee70913f8091?pvs=21),,"Data Science, Natural Language Processing"
Prompt Engineering,"October 6, 2023 12:25 PM",Dell Internship 2 (https://www.notion.so/Dell-Internship-2-a86db75c8e054b728b98991ff4f8afd9?pvs=21),,"Deep Learning, Generative AI, Natural Language Processing"
Nutrition Table Mapping,"October 6, 2023 1:02 PM",IceCream Labs (Internship) (https://www.notion.so/IceCream-Labs-Internship-4addc788810c4b3fb2d91f7d39431ce3?pvs=21),,"Computer Vision, Data Generation, Deep Learning"
The reinforcement learning paper,"October 6, 2023 1:14 PM",Manipal University Jaipur (https://www.notion.so/Manipal-University-Jaipur-3c9f570a4d7e46b78eb9faff9dcd1fd7?pvs=21),,"Deep Learning, Fun!, Reinforcement Learning"
Lathe Machine,"October 10, 2023 6:19 PM",Manipal University Jaipur (https://www.notion.so/Manipal-University-Jaipur-3c9f570a4d7e46b78eb9faff9dcd1fd7?pvs=21),https://github.com/Swagget/lathe-machine-damage-analysis,"Data Generation, Data Science, Fun!, Machine Learning, Time Series Forecasting"
Emotional Response,"October 10, 2023 6:21 PM",Manipal University Jaipur (https://www.notion.so/Manipal-University-Jaipur-3c9f570a4d7e46b78eb9faff9dcd1fd7?pvs=21),https://github.com/Swagget/Emotional-Response,"Computer Vision, Data Science, Fun!"
Deblurring Computer Vision,"October 10, 2023 6:24 PM",University of Illinois at Chicago (https://www.notion.so/University-of-Illinois-at-Chicago-c5daf816411e4165a0c0ba08365acd22?pvs=21),,"Computer Vision, Deep Learning"
